,cd-num,haiku,writer,kigo,season
89,91,菫程な小さき人に生れたし,夏目漱石,薫,春
90,92,仏性は白き桔梗にこそあらめ,夏目漱石,桔梗,秋
91,93,月に行く漱石妻を忘れたり,夏目漱石,月,秋
92,94,某は案山子にて候雀どの,夏目漱石,案山子,秋
93,95,ぶつぶつと大いなる田螺の不平かな,夏目漱石,田螺,春
94,96,行く年や猫うづくまる膝の上,夏目漱石,行く年,冬
95,97,草山に馬放ちけり秋の空,夏目漱石,秋の空,秋
96,98,秋の川真白な石を拾ひけり,夏目漱石,秋の川,秋
97,99,剥製の鵙鳴かなくに昼淋し,夏目漱石,鵙,秋
98,100,或夜雛娶りけり白い酒,夏目漱石,雛,春
99,101,霧黄なる市に動くや影法師,夏目漱石,霧,秋
100,102,無人島の天子とならば涼しかろ,夏目漱石,涼し,夏
101,103,能もなき教師とならんあら涼し,夏目漱石,涼し,夏
102,104,物いはぬ人と生れて打つ畠か,夏目漱石,畑打,春
103,105,春の水岩を抱いて流れけり,夏目漱石,春の水,春
104,106,わが影の吹かれて長き枯野かな,夏目漱石,枯野,冬
105,107,別るるや夢一筋の天の川,夏目漱石,天の川,秋
106,108,秋の江に打ち込む杭の響かな,夏目漱石,秋の江,秋
107,109,秋風や唐紅の咽喉仏,夏目漱石,秋風,秋
108,110,秋風やひびの入りたる胃の袋,夏目漱石,秋風,秋
109,111,立秋の紺落ち付くや伊予絣,夏目漱石,立秋,秋
110,112,洪水のあとに色なき茄子かな　,夏目漱石,茄子,秋
111,113,生きて仰ぐ空の高さよ赤蜻蛉,夏目漱石,赤蜻蛉,秋
112,114,肩に来て人懐かしや赤蜻蛉,夏目漱石,赤蜻蛉,秋
113,116,病んで夢む天の川より出水かな,夏目漱石,天の川,秋
114,117,腸に春滴るや粥の味,夏目漱石,春,春
115,118,秋風や屠られに行く牛の尻,夏目漱石,秋風,秋
116,119,春の夜や妻に教はる荻江節,夏目漱石,春の夜,春
117,120,蝶の舌ゼンマイに似る暑さかな,芥川龍之介,蝶,春
118,121,木がらしや東京の日のありどころ,芥川龍之介,木枯,冬
119,122,癆咳の顔美しや冬帽子,芥川龍之介,冬帽子,冬
120,123,木がらしや目刺にのこる海の色,芥川龍之介,木枯,冬
121,124,初秋の蝗つかめば柔らかき,芥川龍之介,初秋,秋
122,125,水洟や鼻の先だけ暮れ残る,芥川龍之介,水洟,冬
123,126,元日や手を洗ひをる夕ごころ,芥川龍之介,元日,新年
124,127,あかつきや蛼なきやむ屋根のうら,芥川龍之介,竃馬,秋
125,128,しぐるるや堀江の茶屋に客ひとり,芥川龍之介,時雨,冬
126,129,春雨の中や雪おく甲斐の山,芥川龍之介,春雨,春
127,130,兎も片耳垂るる大暑かな,芥川龍之介,大暑,夏
128,131,青蛙おのれもペンキぬりたてか,芥川龍之介,雨蛙,夏
129,132,胸中の凩咳となりにけり,芥川龍之介,凩,冬
130,133,帰らなんいざ草の庵は春の風　をやめる）,芥川龍之介,春の風,春
131,134,拾得は焚き寒山は掃く落葉,芥川龍之介,落葉,冬
132,135,暁や北斗を浸す春の潮,松瀬青々,春の潮,春
133,136,ふらここや少し汗出る戀衣,松瀬青々,鞦韆,春
134,137,夕立は貧しき町を洗ひ去る,松瀬青々,夕立,夏
135,138,貝寄風や愚な貝もよせてくる,松瀬青々,貝寄風,春
136,139,蟻穴を出て地歩くや東大寺,松瀬青々,蟻,夏
137,140,短夜の浮藻うごかす小蝦かな,松瀬青々,短夜,夏
138,141,女房のふところ恋ひし春の暮,松瀬青々,春の暮,春
139,142,桃の花を満面に見る女かな,松瀬青々,桃の花,春
140,143,鞦韆にこぼれて見ゆる胸乳かな,松瀬青々,鞦韆,春
141,144,日盛りに蝶のふれ合ふ音すなり,松瀬青々,日盛,夏
142,145,この国に恋の茂兵衛やほととぎす,松瀬青々,時鳥,夏
143,146,春雨の衣桁に重し恋衣,高浜虚子,春雨,春
144,148,怒濤岩を噛む我を神かと朧の夜,高浜虚子,朧の夜,春
145,149,海に入りて生れかはらう朧月,高浜虚子,朧月,春
146,150,大根の花紫野大徳寺,高浜虚子,大根の花,春
147,151,先生が瓜盗人でおはせしか,高浜虚子,瓜,夏
148,152,盗んだる案山子の笠に雨急なり,高浜虚子,案山子,秋
149,153,蛇穴を出て見れば周の天下なり,高浜虚子,蛇穴を出ず,春
150,154,穴を出る蛇を見て居る鴉かな,高浜虚子,蛇穴を出ず,春
151,155,柴漬に見るもかなしき小魚かな,高浜虚子,紫漬,冬
152,156,亀鳴くや皆愚かなる村のもの,高浜虚子,亀鳴く,春
153,157,蓑虫よ父よと鳴きて母もなし,高浜虚子,蓑虫,秋
154,158,遠山に日の当りたる枯野かな,高浜虚子,枯野,冬
155,159,秋風や眼中のもの皆俳句,高浜虚子,秋風,秋
156,160,ほろほろと泣き合ふ尼や山葵漬,高浜虚子,山葵漬,春
157,161,大海のうしほはあれど旱かな,高浜虚子,早,夏
158,162,むづかしき禅門出れば葛の花,高浜虚子,葛の花,秋
159,163,秋風にふえてはへるや法師蟬,高浜虚子,法師蟬,秋
160,164,鎌とげば藜悲しむけしきかな,高浜虚子,藜,夏
161,165,行水の女にほれる烏かな,高浜虚子,行水,夏
162,166,村の名も法隆寺なり麦を蒔く,高浜虚子,麦蒔,冬
163,167,芳草や黒き烏も濃紫,高浜虚子,芳草,春
164,168,桐一葉日当りながら落ちにけり,高浜虚子,桐一葉,秋
165,169,秋扇や寂しき顔の賢夫人,高浜虚子,秋扇,秋
166,170,秋空を二つに断てり椎大樹,高浜虚子,秋風,秋
167,171,金亀子擲つ闇の深さかな,高浜虚子,金亀子,夏
168,172,新涼の驚き貌に来りけり,高浜虚子,新涼,秋
169,173,凡そ天下に去来程の小さき墓に参りけり,高浜虚子,墓参,秋
170,174,霜降れば霜を楯とす法の城,高浜虚子,霜,冬
171,175,死神を蹴る力無き蒲団かな,高浜虚子,蒲団,冬
172,176,春風や闘志いだきて丘に立つ,高浜虚子,春風,春
173,177,大寺を包みてわめく木の芽かな,高浜虚子,木の芽,春
174,178,一つ根に離れ浮く葉や春の水,高浜虚子,春の水,春
175,179,古庭を魔になかへしそ蟇,高浜虚子,蟇,夏
176,180,年を以て巨人としたり歩み去る,高浜虚子,年去る,冬
177,182,我心或時軽し罌粟の花,高浜虚子,罌粟,夏
178,183,コレラ怖ぢて奇麗に住める女かな,高浜虚子,コレラ,夏
179,184,一人の強者唯出よ秋の風,高浜虚子,秋の風,秋
180,185,葡萄の種吐き出して事を決しけり,高浜虚子,葡萄,秋
181,186,これよりは恋や事業や水温む,高浜虚子,水温む,春
182,188,大空に又わき出でし小鳥かな,高浜虚子,小鳥,秋
183,189,木曽川の今こそ光れ渡り鳥,高浜虚子,渡り鳥,秋
184,190,闇汁の杓子を逃げしものや何,高浜虚子,闇汁,冬
185,191,蛇逃げて我を見し眼の草に残る,高浜虚子,蛇,夏
186,192,天の川のもとに天智天皇と虚子と,高浜虚子,天の川,秋
187,193,雨の中に立春大吉の光あり,高浜虚子,立春大吉,春
188,194,鞦韆に抱き乗せて沓に接吻す,高浜虚子,ぶらんこ,春
189,195,野を焼いて帰れば燈火母やさし,高浜虚子,野焼,春
190,196,能すみし面の衰へ暮の秋,高浜虚子,暮の秋,秋
191,197,秋天の下に野菊の花弁欠く,高浜虚子,秋の空,秋
192,198,我を指す人の扇をにくみけり,高浜虚子,扇,夏
193,199,冬帝先ず日をなげかけて駒ケ岳,高浜虚子,冬帝,冬
194,200,どかと解く夏帯に句を書けとこそ,高浜虚子,夏帯,夏
195,201,天日のうつりて暗し蝌蚪の水,高浜虚子,蝌蚪,春
196,202,晩涼に池の萍皆動く,高浜虚子,晩涼,秋
197,203,月浴びて玉崩れをる噴井かな,高浜虚子,噴井,夏
198,204,北風や石を敷きたるロシア町,高浜虚子,北風,冬
199,205,春寒のよりそひ行けば人目ある,高浜虚子,春寒,春
200,206,白牡丹といふといへども紅ほのか,高浜虚子,牡丹,夏
201,207,鴬や洞然として昼霞,高浜虚子,鶯,春
202,208,底の石ほと動き湧く清水かな,高浜虚子,清水,夏
203,209,大空に伸び傾ける冬木かな,高浜虚子,冬木,冬
204,210,ものの芽のあらはれ出でし大事かな,高浜虚子,ものの芽,春
205,211,なつかしきあやめの水の行方かな,高浜虚子,菖蒲,夏
206,212,わだつみに物の命のくらげかな,高浜虚子,海月,夏
207,213,やり羽子や油のやうな京言葉,高浜虚子,羽子板,新年
208,214,東山静に羽子の舞ひ落ちぬ,高浜虚子,羽子板,新年
209,215,おもひ川渡れば叉も花の雨,高浜虚子,花の雨,春
210,216,新涼や仏にともし奉る,高浜虚子,新涼,秋
211,217,ふるさとの月の港をよぎるのみ,高浜虚子,月,秋
212,218,はなやぎて月の面にかかる雲,高浜虚子,月,秋
213,219,われが来し南の国のザボンかな,高浜虚子,朱戀,冬
214,220,流れ行く大根の葉の早さかな,高浜虚子,大根,冬
215,221,此村を出でばやと思ふ畦を焼く,高浜虚子,畦焼,春
216,222,眼つむれば若き我あり春の宵,高浜虚子,春の宵,春
217,223,旧城市柳絮とぶことしきりなり,高浜虚子,柳絮,春
218,224,夕立や森を出で来る馬車一つ,高浜虚子,夕立,夏
219,225,石ころも露けきものの一つかな,高浜虚子,露,秋
220,226,栞して山家集あり西行忌,高浜虚子,西行忌,春
221,227,春潮といへば必ず門司を思ふ,高浜虚子,春潮,春
222,228,炎天の空美しや高野山,高浜虚子,炎天,夏
223,229,闇なれば衣まとふ間の裸かな,高浜虚子,裸,夏
224,230,もの言ひて露けき夜と覚えたり,高浜虚子,露,秋
225,231,大試験山の如くに控へたり,高浜虚子,大試験,春
226,232,紅梅の紅の通へる幹ならん,高浜虚子,紅梅,春
227,233,火の山の裾に夏帽振る別れ,高浜虚子,夏帽子,夏
228,235,われの星燃えてをるなり星月夜,高浜虚子,星月夜,秋
229,236,酒うすしせめては燗を熱うせよ,高浜虚子,熱燗,冬
230,237,鷹の目の佇む人に向はざる,高浜虚子,鷹,冬
231,238,聾青畝ひとり離れて花下に笑む,高浜虚子,花,春
232,239,春の浜大いなる輪が画いてある,高浜虚子,春の浜,春
233,240,自から其頃となる釣忍,高浜虚子,釣忍,夏
234,241,くはれもす八雲旧居の秋の蚊に,高浜虚子,秋の蚊,秋
235,242,襟巻の狐の顔は別にあり,高浜虚子,襟巻,冬
236,243,鴨の嘴よりたらたらと春の泥,高浜虚子,春泥,春
237,244,神にませばまこと美はし那智の滝,高浜虚子,滝,夏
238,245,囀や絶えず二三羽こぼれ飛び,高浜虚子,囀,春
239,246,浴衣着て少女の乳房高からず,高浜虚子,浴衣,夏
240,247,バス来るや虹の立ちたる湖畔村,高浜虚子,虹,夏
241,248,顔抱いて犬が寝てをり菊の宿,高浜虚子,菊,秋
242,249,白雲と冬木と終にかかはらず,高浜虚子,冬木,冬
243,250,玉虫の光残して飛びにけり,高浜虚子,玉虫,夏
244,251,大いなるものが過ぎ行く野分かな,高浜虚子,野分,秋
245,252,川を見るバナナの皮は手より落ち,高浜虚子,バナナ,夏
246,253,神慮今鳩をたたしむ初詣,高浜虚子,初詣,新年
247,254,一を知つて二を知らぬなり卒業す,高浜虚子,卒業,春
248,255,道のべに阿波の遍路の墓あはれ,高浜虚子,遍路,春
249,256,かわかわと大きくゆるく寒鴉,高浜虚子,寒鴉,冬
250,257,大空に羽子の白妙とどまれり,高浜虚子,羽子,新年
251,258,餅も好き酒もすきなりけさの春,高浜虚子,今朝の春,新年
252,259,大紅蓮大白蓮の夜明かな,高浜虚子,蓮の花,夏
253,260,短夜の星が飛ぶなり顔の上,高浜虚子,短夜,夏
254,261,蝶々のもの食ふ音の静かさよ,高浜虚子,蝶,春
255,262,行春や畳んで古き恋衣,高浜虚子,行春,春
256,263,絵ぶみして生き残りたる女かな,高浜虚子,踏絵,春
257,264,宮柱太しく立ちて神無月,高浜虚子,神無月,秋
258,265,兄弟の心異る寒さかな,高浜虚子,寒さ,冬
259,266,山深く狂女に逢へり葛の花,高浜虚子,葛の花,秋
260,267,放屁虫俗論党を憎みけり,高浜虚子,放屁虫,秋
261,268,地球凍てぬ月光之を照しけり,高浜虚子,凍つ,冬
262,269,初空や大悪人虚子の頭上に,高浜虚子,初空,新年
263,270,其中に金鈴をふる虫一つ,高浜虚子,虫,秋
264,271,波音の由比ケ浜より初電車,高浜虚子,初電車,新年
265,272,早春の庭をめぐりて門を出でず,高浜虚子,早春,春
266,273,この庭の遅日の石のいつまでも,高浜虚子,遅日,春
267,274,箱庭の人に古りゆく月日かな,高浜虚子,箱庭,夏
268,275,咲き満ちてこぼるる花もなかりけり,高浜虚子,花,春
269,276,狐火の出てゐる宿の女かな,高浜虚子,狐火,冬
270,277,春燈の下に我あり汝あり,高浜虚子,春燈,春
271,278,宇治川をわたりおほせし胡蝶かな,高浜虚子,胡蝶,春
272,279,大濤にをどり現れ初日の出,高浜虚子,初日の出,新年
273,280,鴨の中の一つの鴨を見てゐたり,高浜虚子,鴨,冬
274,281,命かけて芋虫憎む女かな,高浜虚子,芋虫,秋
275,282,飛んで来る物恐ろしき野分かな,高浜虚子,野分,秋
276,283,翡翠の紅一点につづまりぬ,高浜虚子,翡翠,夏
277,284,歌留多とる皆美しく負けまじく,高浜虚子,歌留多,新年
278,285,たとふれば独楽のはじける如くなり,高浜虚子,独楽,新年
279,286,稲妻をふみて跣足の女かな,高浜虚子,稲妻,秋
280,287,老人と子供と多し秋祭,高浜虚子,秋祭,秋
281,288,行年や歴史の中に今我あり,高浜虚子,行年,冬
282,289,焚火かなし消えんとすれば育てられ,高浜虚子,焚火,冬
283,290,旗のごとなびく冬日をふと見たり,高浜虚子,冬日,冬
284,291,己が羽の抜けしを啣へ羽抜鶏,高浜虚子,羽抜鶏,夏
285,292,秋風や心の中の幾山河,高浜虚子,秋風,秋
286,293,もの置けばそこに生れぬ秋の蔭,高浜虚子,秋,秋
287,294,龍の玉深く蔵すといふことを,高浜虚子,龍の玉,冬
288,295,春水をたたけばいたく窪むなり,高浜虚子,春水,春
289,296,運命は笑ひ待ちをり卒業す,高浜虚子,卒業,春
290,297,初蝶を夢の如くに見失ふ,高浜虚子,初蝶,春
291,298,虫螻蛄と侮られつつ生を享く,高浜虚子,虫,秋
292,299,鳰がゐて鳰の海とは昔より,高浜虚子,鳰,冬
293,300,秋風やとある女の或る運命,高浜虚子,秋風,秋
294,301,手鞠唄かなしきことをうつくしく,高浜虚子,手鞠唄,新年
295,302,大寒の埃の如く人死ぬる,高浜虚子,大寒,冬
296,303,松過ぎの又も光陰矢の如く,高浜虚子,松過ぎ,新年
297,304,秋風や心激して口吃る,高浜虚子,秋風,秋
298,305,よろよろと棹がのぼりて柿挟む,高浜虚子,柿,秋
299,306,北風に人細り行き曲り消え,高浜虚子,北風,冬
300,307,大根を水くしやくしやにして洗ふ,高浜虚子,大根,冬
301,308,向日葵が好きで狂ひて死にし画家,高浜虚子,向日葵,夏
302,309,悲しさはいつも酒気ある夜学の師,高浜虚子,夜学,秋
303,310,寒鯉の一擲したる力かな,高浜虚子,寒鯉,冬
304,311,白酒の紐の如くにつがれけり,高浜虚子,白酒,春
305,312,土塊を一つ動かし物芽出づ,高浜虚子,物の芽,春
306,314,虹消えて忽ち君の無き如し,高浜虚子,虹,夏
307,315,山国の蝶を荒しと思はずや,高浜虚子,蝶,春
308,316,日のくれと子供が言ひて秋の暮,高浜虚子,秋の暮,秋
309,317,句を玉と暖めてをる炬燵かな,高浜虚子,炬燵,冬
310,318,世の中を遊びごころや氷柱折る,高浜虚子,氷柱,冬
311,319,初蝶来何色と問ふ黄と答ふ,高浜虚子,物蝶,春
312,320,我生の今日の昼寝も一大事,高浜虚子,昼寝,夏
313,321,いつ死ぬる金魚と知らず美しき,高浜虚子,金魚,夏
314,322,秋灯や夫婦互に無き如く,高浜虚子,秋灯,秋
315,323,茎右往左往菓子器のさくらんぼ,高浜虚子,桜桃,夏
316,324,爛々と昼の星見え菌生え,高浜虚子,茸,秋
317,325,海女とても陸こそよけれ桃の花,高浜虚子,桃の花,春
318,326,秋天にわれがぐんぐんぐんぐんと,高浜虚子,秋の空,秋
319,327,大紅葉燃え上がらんとしつつあり,高浜虚子,紅葉,秋
320,328,やはらかき餅の如くに冬日かな,高浜虚子,冬日,冬
321,329,虚子一人銀河と共に西へ行く,高浜虚子,銀河,秋
322,330,大空にうかめる如き玉椿,高浜虚子,玉椿,春
323,331,彼一語我一語秋深みかも,高浜虚子,秋,秋
324,332,去年今年貫く棒の如きもの,高浜虚子,去年今年,新年
325,333,熱燗に泣きをる上戸ほつておけ,高浜虚子,熱燗,冬
326,334,ゆらぎ見ゆ百の椿が三百に,高浜虚子,椿,春
327,335,何事も知らずと答へ老の春,高浜虚子,春,春
328,336,すぐ来いといふ子規の夢明易き,高浜虚子,短夜,夏
329,337,人生の台風圏に今入りし,高浜虚子,台風,秋
330,338,コスモスの花あそびをる虚空かな,高浜虚子,コスモス,秋
331,339,一切を抛擲し去り大昼寝,高浜虚子,昼寝,夏
332,340,我を見て舌を出したる大蜥蜴,高浜虚子,蜥蜴,夏
333,341,大空の青艶にして流れ星,高浜虚子,流れ星,秋
334,342,蜘蛛に生れ網をかけねばならぬかな,高浜虚子,蜘蛛,夏
335,343,不精にて年賀を略す他意あらず,高浜虚子,年賀,新年
336,344,我れが行く天地万象凍てし中,高浜虚子,凍つ,冬
337,345,風生と死の話して涼しさよ,高浜虚子,涼し,夏
338,346,灯をともす指の間の春の闇,高浜虚子,春の闇,春
339,347,春の山屍をうめてむなしかり,高浜虚子,春の山,春
340,348,独り句の推敲をして遅き日を,高浜虚子,遅日,春
341,349,子規逝くや十七日の月明に,高浜虚子,子規忌,秋
342,350,箒木に影といふものありにけり,高浜虚子,箒木,夏
343,351,春浅き水を渉るや鷺一つ,河東碧梧桐,春浅し,春
344,352,桃咲くや湖水のへりの十箇村,河東碧梧桐,桃の花,春
345,353,春寒し水田の上の根なし雲,河東碧梧桐,春寒,春
346,354,ひたひたと春の潮打つ鳥居かな,河東碧梧桐,春の潮,春
347,355,ちさい子の走りてあがる凧,河東碧梧桐,凧,春
348,356,旅にして昼餉の酒や桃の花,河東碧梧桐,桃の花,春
349,357,赤い椿白い椿と落ちにけり,河東碧梧桐,椿,春
350,358,空をはさむ蟹死にをるや雲の峰,河東碧梧桐,雪の峰,夏
351,359,鳥渡り明日はと望む山夏野,河東碧梧桐,夏野,夏
352,360,馬方の喧嘩も果てて蚊遣かな,河東碧梧桐,蚊遣,夏
353,361,天領の境にさくや桐の花,河東碧梧桐,桐の花,夏
354,362,ひやひやと積木が上に海見ゆる,河東碧梧桐,ひやひやと,秋
355,363,川上の水静かなる花野かな,河東碧梧桐,花野,秋
356,364,露深し胸毛の濡るる朝の鹿,河東碧梧桐,露,秋
357,365,鳥渡る博物館の林かな,河東碧梧桐,鳥渡る,秋
358,366,から松は淋しき木なり赤蜻蛉,河東碧梧桐,赤蜻蛉,秋
359,367,螽飛ぶ草に蟷螂じつとして,河東碧梧桐,螽,秋
360,368,この道の富士になりゆく芒かな,河東碧梧桐,芒,秋
361,369,豊かなる年の落穂を祝ひけり,河東碧梧桐,落穂,秋
362,370,流れたる花屋の水の氷りけり,河東碧梧桐,氷,冬
363,371,不忍や水鳥の夢夜の三味,河東碧梧桐,水鳥,冬
364,372,思はずもヒヨコ生れぬ冬薔薇,河東碧梧桐,冬薔薇,冬
365,373,初日さす朱雀道りの静さよ,河東碧梧桐,初日,新年
366,374,曳かれる牛が辻でずつと見廻した秋空だ,河東碧梧桐,秋空,秋
367,376,元日や日のあたりをる浅間山,臼田亞浪,元日,新年
368,377,鵯のそれきり鳴かず雪の暮,臼田亞浪,雪,冬
369,378,氷曳く音こきこきと杉間かな,臼田亞浪,氷,冬
370,379,木曽路ゆく我も旅人散る木の葉,臼田亞浪,木の葉,冬
371,380,今日も暮るる吹雪の底の大日輪,臼田亞浪,吹雪,冬
372,381,郭公や何処までゆかば人に逢はむ,臼田亞浪,郭公,夏
373,382,コスモスへゆきかまつかへゆき憩ふ,臼田亞浪,コスモス,秋
374,383,元日やふどしたたんで枕上ﾐ,村上鬼城,元日,新年
375,384,春寒やぶつかり歩く盲犬,村上鬼城,春寒,春
376,385,世を恋ふて人を恐るる余寒かな,村上鬼城,余寒,春
377,386,春の夜や灯を囲み居る盲者達,村上鬼城,春の夜,春
378,387,榛名山大霞して真昼かな,村上鬼城,霞,春
379,388,残雪やごうごうと吹く松の風,村上鬼城,残雪,春
380,389,治聾酒の酔ふほどもなくさめにけり,村上鬼城,治聾酒,春
381,390,生きかはり死にかはりして打つ田かな,村上鬼城,田打,春
382,391,闘鶏の眼つぶれて飼はれけり,村上鬼城,闘鶏,春
383,392,己が影を慕うて這へる地虫かな,村上鬼城,地虫出づ,春
384,393,川底に蝌蚪の大国ありにけり,村上鬼城,蝌蚪,春
385,394,ゆさゆさと大枝ゆるる桜かな,村上鬼城,桜,春
386,395,念力のゆるめば死ぬる大暑かな,村上鬼城,大暑,夏
387,396,五月雨や起上がりたる根無草,村上鬼城,五月雨,夏
388,397,雹晴れて豁然とある山河かな,村上鬼城,雹,夏
389,398,水すまし水に跳て水鉄の如し,村上鬼城,水すまし,夏
390,399,夏草に這上がりたる捨蚕かな,村上鬼城,夏草,夏
391,400,秋の暮水のやうなる酒二合,村上鬼城,秋の暮,秋
392,401,痩馬のあはれ機嫌や秋高し,村上鬼城,秋高し,秋
393,402,さみしさに早飯食ふや秋の暮,村上鬼城,秋の暮,秋
394,403,けふの月馬も夜道を好みけり,村上鬼城,月,秋
