yomi,kigo_yomi
シュンプウヤアワヘワタリノタビヤクシャ,シュンプウ
ナノハナヤショウガッコウノヒルゲジ,ナノハナ
ノドカサヤツツイテミタルカニノアナ,ノドカ
フジノハナナガウシテアメフラントス,フジノハナ
バラノコウノフンプントシテネムラレズ,バラ
ケイトウノジュウヨンゴホンモアリヌベシ,ケイトウ
イクハルヤヤブレカブレノムカイサケ,イクハル
サミダレヤウエノノヤマモミアキタリ,サミダレ
ケイトウノマダイトケナキノワケカナ,ノワケ
イモウトノキリオソサヨゴジツゲツ,ツキ
クビアゲテオリオリミルヤニワノハギ,ハギ
イキタメヲツツキニクルカハエノコエ,ハエ
ヘチマサキテタンノツマリシホトケカナ,ヘチマ
タンイチトヘチマノミズモマニゴウハズ,ヘチマ
ヲトトヒノヘチマノミズモトラザリキ,ヘチマ
スズメコヤハシリナレタルオニガワラ,スズメノコ
ナツヤマノタイボクタオスコダマカナ,ナツヤマ
ワガコエノフキモドサルルノワケカナ,ノワケ
ショトウノタケミドリナリシセンドウ,ショトウ
ホタルガリワレヲオガワニオトシケリ,ホタル
ナクナラバマンゲツニナケホトトギス,ホトトギス
ケシノハナサヤウニチルハリョガイナリ,ケシノハナ
ナントナクサムイトワガハオモフノミ,サムシ
アンカウヤハラミオンナノツルシキリ,アンコウ
トウザイナンボクヨリフブキカナ,フブキ
シンテンノジョウモエノボルヒバチカナ,ヒバチ
タタカレテヒルノカヲハクモクギョカナ,カ
ウカウカトワガモンヨギルツキヨカナ,ツキヨ
ナガキヒヤアクビウツシテワカレユク,ナガキヒ
コガラシヤウミニユウヒヲフキオトス,コガラシ
ヒトニシシツルニウマレテサエカエル,サエカエル
フルヒヨセテシラウオクズレンバカリナリ,シラウオ
オチサマニヲフセタルツバキカナ,ツバキ
ボケサクヤソウセキツタナヲマモルベク,ボケ
スミレホドナチイサキヒトニウマレタシ,カオル
ブッショウハシロキキキョウニコソアラメ,キキョウ
ツキニイクソウセキツマヲワスレタリ,ツキ
ボウハカカシニテコウスズメドノ,カカシ
ブツブツトオオイナルタニシノフヘイカナ,タニシ
ユクトシヤネコウヅクマルヒザノウエ,ユクトシ
クサヤマニウマハナチケリアキノソラ,アキノソラ
アキノカワマッシロナイシヲジツヒケリ,アキノカワ
ハクセイノモズナカナクニヒルサビシ,モズ
アルヨルヒナメトリケリシロイサケ,ヒナ
キリキナルシニウゴクヤカゲボウシ,キリ
ムジントウノテンシトナラバスズシカロ,スズシ
ノウモナキキョウシトナランアラスズシ,スズシ
モノイハヌヒトトウマレテウツハタケカ,ハタケダ
ハルノミズイワヲダイテナガレケリ,ハルノミズ
ベツルルヤユメヒトスジノアマノガワ,アマノガワ
アキノエニウチコムクイノヒビキカナ,アキノコウ
アキカゼヤカラクレナイノノンドノドボトケ,アキカゼ
アキカゼヤヒビノハイリタルイノフクロ,アキカゼ
リッシュウノコンオチツクヤイヨカスリ,リッシュウ
イキテアオグソラノタカサヨアカトンボ,アカトンボ
カタニキテヒトナツカシヤアカトンボ,アカトンボ
ヤンデユメムアマノガワヨリデミズカナ,アマノガワ
チョウニハルシタタルヤカユノアジ,ハル
アキカゼヤホフラレニイクウシノシリ,アキカゼ
ハルノヨルヤツマニキョウハルオギコウタカシ,ハルノヨル
チョウノシタゼンマイニニルアツサカナ,チョウ
キガラシヤトウキョウノヒノアリドコロ,キ枯
キガラシヤメトゲニノコルウミノイロ,キ枯
ショシュウノイナゴツカメバヤワラカキ,ショシュウ
ミズバナヤハナノサキダケクレノコル,ミズバナ
ガンジツヤテヲアライヒヲルユウゴコロ,ガンジツ
シグルルヤホリエノチャヤニキャクヒトリ,シグレ
ハルサメノナカヤユキオクカイノヤマ,ハルサメ
ウサギモカタミミシデルルタイショカナ,タイショ
アオガエルオノレモペンキヌリタテカ,アマガエル
キョウチュウノコガラシセキトナリニケリ,コガラシ
シュウトクハタキサムヤマハハクラクヨウ,ラクヨウ
アカツキヤホクトヲヒタスハルノシオ,ハルノシオ
ユウダチハマズシキマチヲアライヒサル,ユウダチ
カイヤドリキフウヤグナカイモヨセテクル,カイヤドリキフウ
アリアナヲデテチアルクヤトウダイジ,アリ
ニョウボウノフトコロコイヒシハルノクレ,ハルノクレ
モモノハナヲマンメンニミルオンナカナ,モモノハナ
ヒザカリニチョウノフレゴウフオトスナリ,ニチサカリ
コノクニニコイノモヘイヤホトトギス,ホトトギス
ハルサメノイコウニオモシコイコロモ,ハルサメ
ウミニハイリテウマレカハラウオボロヅキ,オボロヅキ
ダイコンノハナムラサキノダイトクジ,ダイコンノハナ
センセイガウリヌスビトデオハセシカ,ウリ
ヌスンダルカカシノカサニアメキュウナリ,カカシ
ヘビアナヲデテミレバシュウノテンカナリ,ヘビアナヲデズ
アナヲデルヘビヲミテイルカラスカナ,ヘビアナヲデズ
カメナクヤミナオロカナルムラノモノ,カメナク
ミノムシヨチチヨトナキテハハモナシ,ミノムシ
アキカゼヤガンチュウノモノカイハイク,アキカゼ
ホロホロトナキゴウフアマヤワサビヅケ,ワサビヅケ
タイカイノウシホハアレドヒデリカナ,ハヤ
ムヅカシキゼンモンデレバカズラノハナ,カズラノハナ
アキカゼニフエテハヘルヤホウシセミ,ホウシセミ
カマトゲバアカザカナシムケシキカナ,アカザ
ギョウズイノオンナニホレルカラスカナ,ギョウズイ
ムラノナモホウリュウジナリムギヲマク,ムギ蒔
ヨシクサヤクロキカラスモコムラサキ,ヨシクサ
キリヒトハビアタリナガラオチニケリ,キリヒトハ
アキオウギヤサビシキカオノケンプジン,アキオウギ
アキゾラヲフタツニタテリシイタイジュ,アキカゼ
キムカメコナゲウツヤミノフカサカナ,キムカメコ
オヨソテンカニキョライホドノチイサキハカニマイリケリ,ボサン
シモフレバシモヲタテトスホウノシロ,シモ
シニガミヲケルチカラナキフトンカナ,フトン
シュンプウヤトウシイダキテオカニタツ,シュンプウ
オオテラヲツツミテワメクキノメカナ,キノメ
ヒトツネニハナレウクハヤハルノミズ,ハルノミズ
コニワヲマニナカヘシソヒキガエル,ヒキガエル
トシヲモッテキョジントシタリアユミサル,トシサル
ワガシンアルトキカルシケシノハナ,ケシ
コレラコワヂテキレイニスメルオンナカナ,コレラ
イチニンノツワモノタダデヨアキノカゼ,アキノカゼ
ブドウノタネハキダシテコトヲケッシケリ,ブドウ
コレヨリハコイヤジギョウヤミズヌルム,ミズヌルム
オオゾラニマタワキデデシコトリカナ,コトリ
キソガワノイマコソヒカレワタリドリ,ワタリドリ
ヤミジルノシャクシヲニゲシモノヤナニ,ヤミジル
ヘビニゲテワガヲミシメノクサニノコル,ヘビ
アマノガワノモトニテンヂテンノウトキョシト,アマノガワ
アメノナカニリッシュンダイキチノヒカリアリ,リッシュンダイキチ
アキタカシノシタニノギクノハナビラカク,アキノソラ
ワガヲサスヒトノオウギヲニクミケリ,オウギ
フユミカドマズヒヲナゲカケテコマガダケ,フユミカド
ドカトトクナツタイニクヲカケトコソ,ナツタイ
キタカゼヤイシヲシキタルロシアマチ,キタカゼ
シュンカンノヨリソヒイケバヒトメアル,シュンカン
シロボタントイフトイヘドモベニホノカ,ボタン
ウグイスヤホラシカトシテヒルカスミ,ウグイス
ソコノイシホトウゴキワクシミズカナ,シミズ
オオゾラニノビカタムケルフユキカナ,フユキ
モノノメノアラハレデデシダイジカナ,モノノメ
ナツカシキアヤメノミズノユクエカナ,ショウブ
ワダツミニモノノイノチノクラゲカナ,クラゲ
ヤリハゴヤアブラノヤウナキョウコトバ,ハゴイタ
ヒガシヤマシズニハゴノマイヒオチヌ,ハゴイタ
オモヒカワワタレバマタモハナノアメ,ハナノアメ
シンリョウヤホトケニトモシマツル,シンリョウ
フルサトノツキノミナトヲヨギルノミ,ツキ
ハナヤギテツキノメンニカカルクモ,ツキ
ワレガキシミナミノクニノザボンカナ,シュ戀
ナガレユクダイコンノハノハヤサカナ,ダイコン
コノムラヲデデバヤトオモフアゼヲヤク,アゼショウ
メツムレバワカキワガアリハルノヨイ,ハルノヨイ
キュウジョウシリュウジョトブコトシキリナリ,リュウジョ
ユウダチヤモリヲシュツデクルバシャヒトツ,ユウダチ
イシコロモツユケキモノノヒトツカナ,ロ
シオリシテヤマガシュウアリサイギョウキ,サイギョウキ
シュンチョウトイヘバカナラズモジヲオモフ,シュンチョウ
エンテンノソラウツクシヤコウヤサン,エンテン
ヤミナレバコロモマトフカンノハダカカナ,ハダカ
モノゲンヒテツユケキヨルトオボエタリ,ロ
ダイシケンサンノゴトクニヒカエヘタリ,ダイシケン
コウバイノベニノツウヘルミキナラン,コウバイ
ヒノヤマノスソニナツボウフルワカレ,ナツボウシ
ワレノホシモエテヲルナリホシヅキヨ,ホシヅキヨ
サケウスシセメテハカンヲアツウセヨ,アツカン
タカノメノタタズムヒトニムカイハザル,タカ
ツンボアオウネヒトリハナレテハナカニエム,ハナ
ハルノハマオオイナルワガエガイテアル,ハルノハマ
クハレモスヤクモキュウキョノアキノカニ,アキノカ
エリマキノキツネノカオハベツニアリ,エリマキ
カモノハシヨリタラタラトハルノドロ,シュンデイ
カミニマセバマコトビハシナチノタキ,タキ
サエズヤタエズニサンワコボレトビ,サエズ
ユカタキテショウジョノチブサダカカラズ,ユカタ
バスクルヤニジノタチタルコハンムラ,ニジ
カオダイテイヌガネテヲリキクノヤド,キク
シラクモトフユキトツイニカカハラズ,フユキ
タマムシノヒカリノコシテトビニケリ,タマムシ
オオイナルモノガスギユクノワケカナ,ノワケ
カワヲミルバナナノカワハテヨリオチ,バナナ
シンリョコンハトヲタタシムハツモウデ,ハツモウデ
イチヲチツテニヲシラヌナリソツギョウス,ソツギョウ
ミチノベニアワノヘンロノハカアハレ,ヘンロ
カワカワトオオキクユルクカンカラス,カンカラス
オオゾラニハゴノシロタエトドマレリ,ハゴ
モチモスキシュモスキナリケサノハル,ケサノハル
ダイグレンダイビャクレンノヨアケカナ,ハチスノハナ
タンヤノホシガトブナリガオノウエ,タンヤ
チョウチョウノモノショクフオトノシズカサヨ,チョウ
クダリハルヤタタンデフルキコイコロモ,クダリハル
エブミシテイキノコリタルオンナカナ,フミエ
ミヤハシラフトシクタチテカミナヅキ,カミナヅキ
キョウダイノココロコトルサムサカナ,サムサ
ホウヒチュウゾクロントウヲニクミケリ,ホウヒチュウ
チキュウイテヌゲッコウコレヲテシケリ,コオツ
ハツゾラヤダイアクニンキョシノズジョウニ,ハツゾラ
ナミオンノユイガハマヨリハツデンシャ,ハツデンシャ
ソウシュンノニワヲメグリテモンヲデデズ,ソウシュン
コノニワノチジツノイシノイツマデモ,チジツ
ハコニワノヒトニフリユクツキヒカナ,ハコニワ
サキミチテコボルルハナモナカリケリ,ハナ
キツネビノデテヰルヤドノオンナカナ,キツネビ
ウジガワヲワタリオホセシコチョウカナ,コチョウ
カモノナカノヒトツノカモヲミテヰタリ,カモ
イノチカケテイモムシニクムオンナカナ,イモムシ
トンデクルモノオソロシキノワケカナ,ノワケ
ヒスイノコウイッテンニツヅマリヌ,ヒスイ
カルタトルカイウツクシクマケマジク,カルタ
タトフレバコマノハジケルゴトクナリ,コマ
イナヅマヲフミテハダシアシノオンナカナ,イナヅマ
ロウジントコドモトオオシアキサイ,アキサイ
ギョウネンヤレキシノナカニコンワガアリ,ギョウネン
タキビカナシキエントスレバソダテラレ,タキビ
ハタノゴトナビクフユビヲフトミタリ,フユビ
アキカゼヤココロノナカノイクサンガ,アキカゼ
モノオケバソコニウマレヌアキノカゲ,アキ
リュウノタマフカクゾウストイフコトヲ,リュウノタマ
シュンスイヲタタケバイタククボムナリ,シュンスイ
ウンメイハエミヒマチヲリソツギョウス,ソツギョウ
ハツチョウヲユメノゴトクニミウシナフ,ハツチョウ
ムシケラトアナドラレツツナマヲトオルク,ムシ
ニオガヰテニオノウミトハムカシヨリ,ニオ
アキカゼヤトアルオンナノアルルウンメイ,アキカゼ
テマリウタカナシキコトヲウツクシク,テマリウタ
ダイカンノホコリノゴトクヒトジニヌル,ダイカン
マツスギノマタモコウインヤノゴトク,マツスギ
アキカゼヤココロゲキシテクチドモル,アキカゼ
ヨロヨロトサオガノボリテカキハサム,カキ
キタカゼニヒトホソリユキマガリキエ,キタカゼ
ダイコンヲミズクシヤクシヤニシテアライフ,ダイコン
ヒマワリガスキデキョウヒテシニシガカ,ヒマワリ
カナシサハイツモシュキアルヤガクノシ,ヤガク
カンコイノイッテキシタルチカラカナ,カンコイ
シロザケノヒモノゴトクニツガレケリ,シロザケ
ツチクレヲヒトツウゴカシブツメデヅ,モノノメ
ニジキエテタチマチキミノナキゴトシ,ニジ
ヤマグニノチョウヲアラシトオモハズヤ,チョウ
ニチノクレトコドモガゲンヒテアキノクレ,アキノクレ
クヲタマトアタタメテヲルコタツカナ,コタツ
ヨノナカヲアソビゴコロヤツララオル,ツララ
ハツチョウライナンショクトトイフキトコタエフ,モノチョウ
ワガセイノキョウノヒルネモイチダイジ,ヒルネ
イツシヌルキンギョトシラズウツクシキ,キンギョ
アキトウヤフウフカタミニナキゴトク,アキトウ
クキウオウサオウカシキノサクランボ,オウトウ
ランラントヒルノホシミエキンセイエ,タケ
アマトテモリクコソヨケレモモノハナ,モモノハナ
アキタカシニワレガグングングングント,アキノソラ
ダイコウヨウモエアガラントシツツアリ,コウヨウ
ヤハラカキモチノゴトクニフユビカナ,フユビ
キョシイチニンギンガトトモニニシヘイク,ギンガ
オオゾラニウカメルゴトキタマツバキ,タマツバキ
カレイチゴワガイチゴアキフカミカモ,アキ
キョネンコトシツラヌクボウノゴトキモノ,キョネンコトシ
アツカンニナキヲルジョウゴホツテオケ,アツカン
ユラギミユヒャクノツバキガサンヒャクニ,ツバキ
ナニゴトモシラズトコタエヘロウノハル,ハル
スグコイトイフシキノユメメイヤスキ,タンヤ
ジンセイノタイフウケンニイマイリシ,タイフウ
コスモスノハナアソビヲルコクウカナ,コスモス
イッサイヲホウテキシサリダイヒルネ,ヒルネ
ワガヲミテシタヲダシタルダイトカゲ,トカゲ
オオゾラノアオツヤニシテナガレボシ,ナガレボシ
クモニウマレモウヲカケネバナラヌカナ,クモ
ブショウニテネンガヲリャクスタイアラズ,ネンガ
ワガレガイクテンチバンショウイテシナカ,コオツ
フウセイトシノハナシテスズシサヨ,スズシ
アカリヲトモスユビノマノハルノヤミ,ハルノヤミ
ハルノサンカバネヲウメテムナシカリ,ハルノサン
ヒトリクノスイコウヲシテオソキヒヲ,チジツ
シキユクヤジュウナナニチノゲツメイニ,シキキ
ホウキキニカゲトイフモノアリニケリ,ホウキキ
ハルアサキミズヲワタルルヤサギヒトツ,ハルアサシ
シュンカンシスイデンノウエノネナシクモ,シュンカン
ヒタヒタトハルノシオウツトリイカナ,ハルノシオ
チサイコノハシリテアガルタコ,タコ
タビニシテヒルゲノサケヤモモノハナ,モモノハナ
アカイツバキシロイツバキトオチニケリ,ツバキ
ソラヲハサムカニシニヲルヤクモノミネ,ユキノミネ
トリワタリアシタハトノゾムヤマナツノ,ナツノ
ウマカタノケンカモハテテカヤリカナ,カヤリ
テンリョウノサカイニサクヤキリノハナ,キリノハナ
ヒヤヒヤトツミキガウエニウミミユル,ヒヤヒヤト
カワカミノミズシズカナルハナノカナ,ハナノ
トリワタルハクブツカンノハヤシカナ,トリワタル
カラマツハサビシキキナリアカトンボ,アカトンボ
コノミチノフジニナリユクススキカナ,ススキ
ユタカナルトシノオチボヲホガイケリ,オチボ
ナガレタルハナヤノミズノコオリケリ,コオリ
フニンヤミズトリノユメヨルノシャミ,ミズトリ
オモハズモヒヨコウマレヌフユバラ,フユバラ
ショニチサススザクドウリノセイサヨ,ショニチ
ヒカレルウシガツジデズツトミマワシタアキゾラダ,アキゾラ
ガンジツヤヒノアタリヲルセンゲンヤマ,ガンジツ
ヒヨドリノソレキリナカズユキノクレ,ユキ
コオリヒクオトコキコキトスギカンカナ,コオリ
キソロユクワガモタビビトチルコノハ,コノハ
キョウモクレルルフブキノソコノダイニチリン,フブキ
コスモスヘユキカマツカヘユキイコイフ,コスモス
シュンカンヤブツカリアルクメクライヌ,シュンカン
ヨヲコイフテジンヲオソレルルヨカンカナ,ヨカン
ハルノヨルヤアカリヲカコミイルモウシャタチ,ハルノヨル
ハルナサンダイカスミシテマヒルカナ,カスミ
ザンセツヤゴウゴウトフクマツノカゼ,ザンセツ
チツンボシュノヨイフホドモナクサメニケリ,チツンボシュ
イキカハリシニカハリシテウツタカナ,タウチ
ユサユサトオオエダユルルサクラカナ,サクラ
ネンリキノユルメバシヌルタイショカナ,タイショ
サミダレヤオコシアガリタルネナシグサ,サミダレ
アキノクレスイノヤウナルサケニゴウ,アキノクレ
サミシサニハヤメシショクフヤアキノクレ,アキノクレ
ケフノツキバモヨミチヲコノミケリ,ツキ
ツキサシテイチトカンノイエデアリニケリ,ツキ
オヤヨリモシロキヒツジヤケサノアキ,ケサノアキ
ハマグリニスズメノムラアリアワレカナ,ハマグリ
ショウシュンジツヤイシヲカミイルアカトンボ,ショウシュンジツ
フユノヒヤマエニフサガルオノレガカゲ,フユノヒ
タカノツラキビシクオイテアワレナリ,タカ
フユハチノシニトコロナクアルキケリ,フユホウ
ノドケサニネテシマヒケリクサノウエ,ノドカ
マユズミヲコウセヨクサハカンバシキ,ヨシクサ
シブガキノゴトキモノニテハコウヘド,カキ
ゼッペキニマユツケテノムシミズカナ,シミズ
フユヤマヤドコマデノボルユウビンオット,フユヤマ
ハクジツハワガレイナリシラクヨウカナ,ラクヨウ
サザナミハリッシュンノフヲヒロゲタリ,リッシュン
テノヒラニラッカトマラヌツキヨカナ,ツキヨ
カタマツテウスキヒカリノスミレカナ,スミレ
ゲッコウニブツカツテイクヤマジカナ,ゲッコウ
ヒトスジノアキカゼナリシカヤリコウ,アキカゼ
セキバクトユババニアシヲソロヘケリ,ユババ
ウスメテモハナノニオイヒノクズユカナ,クズユ
モツハナニオツルナミダヤハカマヰリ,ボサン
スズオトノカスカニヒビクヒガサカナ,ヒガサ
カリソメニトウロウオクヤクサノナカ,アカリカゴ
クレナヰノココロノヤミノフユビカナ,フユビ
ロホトリノウニスムヒヤジュウニガツ,ジュウニガツ
フルキヨノヒノイロウゴクノショウカナ,ノショウ
オオエドノマチハニシキヤクサガレルル,枯草
ユウメイヘオツルオトアリトウトムシ,アカリトムシ
アキカゼヤガンゼンユウケルツキノナゾ,アキカゼ
イモノロレンザンカゲヲタダシウス,ロ
ボンサイヲコイフコジキアリカラスウリ,トリウリ
アルヨルツキニフジダイガタノサムサカナ,サムサ
タマシヒノシヅカニウツルキクミカナ,キクミ
ヤマグニノコクウビワタルトウジカナ,トウジ
ユキハレテワガフユボウノアオサカナ,フユボウシ
シビョウエテツメウツクシキヒオケカナ,ヒオケ
ラクヨウフンデヒトドウネンヲマットウス,ラクヨウ
サンプクノケガレニナクアラウカナ,ウ
ヒッケンニタショウノチリモリョウヤカナ,リョウヤ
ナツヤマヤマタオオカワニメグリアフ,ナツヤマ
イチタカヲウムヤマカゼヤワラビシンブ,ワラビ
タキフウニフカレアガリヌイシタタキ,イシ叩
ヌギステシヒトノヌクミヤハナイ,ハナイ
ユククモニシバラクヒソムキツバメカナ,キツバメ
シンジンノハハニシタガフボンカイカナ,ボンカイ
ゴッカンノチリモトドメズイワブスマ,ゴッカン
シガイヤアキカゼカヨフハナノアナ,アキカゼ
タマシヒノタトヘバアキノホタルカナ,アキノホタル
インギンニコトヅテタノムヨシキカナ,ヨシキ
シュンランノハナトリスツルクモノナカ,シュンラン
ヲリトリテハラリトオモキススキカナ,ススキ
アキタツヤカワセニマジルカゼノオト,リッシュウ
キリカブニオイテゼンキジュクシカナ,カキ
カンコイノクロビカリシテキラレケリ,カンコイ
シカザンノハダツメタクテクサイチゴ,クサイチゴノハナ
オオツブノカンタマゴオクランルノウエ,カンタマゴ
スッポンヲクビキルナツノウスハカナ,ナツ
ヨキムスメキテシャモリュウベンスシュウジツカナ,シュウジツ
アキニワトリガミテヰルスエノタマゴカナ,アキニワトリ
クサカワノソヨリトモセヌマンジュシャゲ,マンジュシャゲ
ゲッコウノシタタタリカカルウカゴカナ,ウカゴ
フユノヒキガエルガワニハナテバオヨギケリ,フユ
ヤマノワラベノミミズクトラエタルカチドキアゲヌ,ミミズク
ナツクモグンルコノカイチュウニシヌルカナ,ナツクモ
ナツマヒルシハハンガンニヒトヲミル,ナツノヒル
タカナミニカクルルアキノツバメカナ,アキツバメ
フユタキノキケバアイツグコダマカナ,フユノタキ
ヒヤヤカニヒトスメルチノキフクアリ,ヒヤヤカ
イワシグモオオイナルセヲサカノボル,イワシグモ
センシホウアキノヒクレテキタリケリ,アキノヒ
フルユキヤタマノゴトクニランプフク,ユキ
ハルメキテモノノハテナルソラノイロ,ハルメク
エンテンヲヤリノゴトクニリョウキスグ,エンテン
フユガワニデテナニヲミルヒトノツマ,フユノカワ
バラエンイップタサイノバヲオモフ,バラ
イチハヤクヒグレルルセミノナキニケリ,セミ
ダレカレモアラズイッテンジソンノアキ,アキ
ハルフケテショトリナクヤクモノウエ,ハルサラ
ハルツキテヤマミナカイニハシリケリ,イクハル
シュンセツノシバラクフルヤウミノウエ,シュンセツ
ユキカイカワナヤマケヅルヒビキカナ,ユキカイガワ
ゼッペキノホロホロオツルシオヒカナ,シオヒカリ
ヒトコロスワガカモシラズトブホタル,ホタル
シンリョウヤトウフオドロクトウガラシ,シンリョウヤ
オリオンノマコトカハルタツユキノヤド,ユキ
タテヤマノカブサルマチヤミズヲウツ,ウチミズ
ウシロヨリハツユキフレリヨルノマチ,ハツユキ
ユキヤマニユキノフリイルユウカナ,ユキヤマ
ハルボシヤジョセイアサマハヨルモネネズ,ハルボシ
ウラガヘシマタウラガヘシダイガハク,ガ
トリトブヤミユキガカクスヒダノクニ,ミユキ
ヤマモモノヒカゲトチラデトオリケリ,ヤマモモ
カヤカレテミヅガキサンハソウテンニハイル,メ枯ルル
コマガダケイテテイワオヲオトシケリ,コオツ
アキカゼノフキクルホウニカエルナリ,アキカゼ
カリガネノアマリニタカクカエルナリ,カエルカリ
チョウジョウヤコトニノギクノフカレオリ,ノギク
ヤマカワニタカナミモミシノワケカナ,ノワケ
ヤマバタニツキスサマジクナリニケリ,ツキ
ヤマグニノヤミオソロシキオニヤライカナ,オニヤライ
フロノトニセマリテタニノオボロカナ,オボロ
タカダカトチョウコユルタニノフカサカナ,チョウ
ヤマグニノクラスサマジキヤネコノコイ,ネコノコイ
ヤマノイロツリアゲシアユニウゴクカナ,アユ
チョウチンヲホタルガカサネフタニヲキタリ,ホタル
サビシサニマタドラウツヤシカホヤモリ,シカホヤ
ツルフンデヒトヤマノロウゴキケリ,ロ
イソワシハカナラズイワオニトマリケリ,ワシ
バンジャクヲヌクトウダイヤナツチカシ,ナツチカシ
アキカゼヤモヨウノチガフサラフタツ,アキカゼ
ケサアキノイチホウミヌナカノウミ,ケサノアキ
オノレガアンニヒカケテミムヤアキノカゼ,アキノカゼ
バショウダカシカリレツニヒノアリドコロ,カリ
クビノベテヒヲミルカリヤアシノナカ,カリ
タンビノコズエミジンニクレニケリ,ミジカヒ
キリカブニウグイストマルニガツカナ,ニガツ
アキチョウノオドロキヤスキツバサカナ,アキチョウ
ユキニキテミゴトナトリノダマリイル,ユキ
ハルノミズガンヘキシヘトユウカナ,ハルノミズ
アユノセニイチマツノシュノアリシゴトシ,アユ
キタシカタヤアシビサクノノヒノヒカリ,アシビ
ヒキガエルナイテトウショウダイジハルイヅコ,ヒキガエル
アシビサクコンドウノトビラニワガフレヌ,アシビ
アシビヨリヒクキモンナリジョウルリデラ,アシビ
キンイロノホトケゾオハスワラビカナ,ワラビ
ナシサクトカツシカノノハトノクモリ,ナシノハナ
レンギョウヤママノサトビトカキヲユイハズ,レンギョウ
カツシカヤモモノマセモスイデンベリ,モモノハナ
ヤヤアリテキテイノナミヤアシノカク,アシノカク
アゼショウニタマノヨコヤマクレサンヌ,アゼショウ
ウグイスヤサキヤマイヨヨアメノナカ,ウグイス
テンピョウノヲトメゾタテルヒナカナ,ヒナ
ユウコチヤウミノフネヰルスミダガワ,ユウコチ
ヤマヤクヒヒノハラニクレバマノアタリ,ヤマヤク
ヨシセツノヲチノスルドゴエヤアサグモリ,ヨシセツ
ソワタカクアマグモイクヤホウノハナ,ホウノハナ
ホウノサクフチニコダマスハタヤカナ,ホウノハナ
エンエイヤタカナミエツユルイチノレツ,エンエイ
ヨルノクモニフンエンウツルシンキカナ,アラキ
ナツカシヤキセイノバシャニヤマノチョウ,キセイ
クワノハノテルニタヘユクキセイカナ,キセイ
ギョシャワカシムギブエカンデキタリケリ,ムギブエ
ヤマビコノヰテサビシサヤハンモツク,ハンモック
フルサトノヌマノニホヒヤヘビイチゴ,ヘビイチゴ
シラカンバニツキテリツツモウマシガラミノキリ,キリ
ケラヤラクヨウヲイソグマキノキギ,ケラ
ウンカイヤタカノマヒヰルミネヒトツ,ウンカイ
ハゼツリヤフニクレソメテテヲアライフ,ハゼツリ
バイダヤアカリトモリキュウフカンゼオン,カイダ
タノシサハフエシゾウショニチチロムシ,チチロムシ
フルサトヤウマオイナケルカゼノナカ,ウマオイ
