parsed_kigo,parsed_haiku
秋 の 江,秋 の 江 に 打ち込む 杭 の 響 か な
秋風,秋風 や 唐紅 の 咽 喉仏
秋風,秋風 や ひび の 入り たる 胃 の 袋
立秋,立秋 の 紺 落ち 付く や 伊予 絣
茄子,洪水 の あと に 色 なき 茄子 か な 　
赤蜻蛉,生き て 仰ぐ 空 の 高 さ よ 赤蜻蛉
赤蜻蛉,肩 に 来 て 人 懐かし や 赤蜻蛉
天の川,病ん で 夢 む 天の川 より 出水 か な
春,腸 に 春 滴る や 粥 の 味
秋風,秋風 や 屠ら れ に 行く 牛 の 尻
春 の 夜,春 の 夜 や 妻 に 教 はる 荻 江 節
蝶,蝶 の 舌 ゼンマイ に 似る 暑 さ か な
木 枯,木 が らし や 東京 の 日 の あり どころ
冬 帽子,癆咳 の 顔 美し や 冬 帽子
木 枯,木 が らし や 目 刺 に のこる 海 の 色
初秋,初秋 の 蝗 つかめ ば 柔らかき
水洟,水洟 や 鼻 の 先 だけ 暮れ残る
元日,元日 や 手 を 洗 ひ を る 夕 ごころ
竃馬,あかつき や 蛼 なき やむ 屋根 の うら
時雨,し ぐる る や 堀江 の 茶屋 に 客 ひとり
春雨,春雨 の 中 や 雪 おく 甲斐 の 山
大暑,兎 も 片耳 垂 るる 大暑 か な
雨蛙,青蛙 おのれ も ペンキ ぬりたて か
凩,胸中 の 凩 咳 と なり に けり
春 の 風,帰ら な ん いざ 草 の 庵 は 春 の 風 　 を やめる ）
落葉,拾得 は 焚き 寒 山 は 掃く 落葉
春 の 潮,暁 や 北斗 を 浸す 春 の 潮
鞦韆,ふら ここ や 少し 汗 出る 戀衣
夕立,夕立 は 貧しき 町 を 洗 ひ 去る
貝 寄 風,貝 寄 風 や 愚 な 貝 も よせ て くる
蟻,蟻 穴 を 出 て 地 歩く や 東大寺
短夜,短夜 の 浮藻 うごかす 小 蝦 か な
春 の 暮,女房 の ふところ 恋 ひし 春 の 暮
桃 の 花,桃 の 花 を 満面 に 見る 女 か な
鞦韆,鞦韆 に こぼれ て 見 ゆる 胸 乳 か な
日 盛,日盛り に 蝶 の ふれ 合 ふ 音 す なり
時鳥,この 国 に 恋 の 茂兵衛 や ほととぎす
春雨,春雨 の 衣桁 に 重し 恋 衣
朧 の 夜,怒 濤岩 を 噛む 我 を 神 か と 朧 の 夜
朧月,海 に 入り て 生れ か はらう 朧月
大根 の 花,大根 の 花 紫野大徳寺
瓜,先生 が 瓜 盗人 で お はせ しか
案山子,盗ん だ る 案山子 の 笠 に 雨 急 なり
蛇 穴 を 出 ず,蛇 穴 を 出 て 見れ ば 周 の 天下 なり
蛇 穴 を 出 ず,穴 を 出る 蛇 を 見 て 居る 鴉 か な
紫 漬,柴 漬 に 見る も かなしき 小 魚 か な
亀 鳴く,亀 鳴く や 皆 愚か なる 村 の もの
蓑虫,蓑虫 よ 父 よ と 鳴き て 母 も なし
枯野,遠山 に 日 の 当り たる 枯野 か な
秋風,秋風 や 眼中 の もの 皆 俳句
山葵漬,ほろほろ と 泣き 合 ふ 尼 や 山葵漬
早,大海 の うし ほ は あれ ど 旱 か な
葛 の 花,むづかしき 禅門 出れ ば 葛 の 花
法師 蟬,秋風 に ふえ て は へる や 法師 蟬
藜,鎌 とげ ば 藜 悲しむ けしき か な
行水,行水 の 女 に ほれる 烏 か な
麦 蒔,村 の 名 も 法隆寺 なり 麦 を 蒔く
芳 草,芳 草 や 黒き 烏 も 濃紫
桐一葉,桐一葉 日 当り ながら 落ち に けり
秋 扇,秋 扇 や 寂しき 顔 の 賢夫人
秋風,秋空 を 二つ に 断て り 椎 大樹
金 亀子,金 亀子 擲つ 闇 の 深 さ か な
新涼,新涼 の 驚き 貌 に 来り けり
墓参,凡そ 天下 に 去来 程 の 小さき 墓 に 参り けり
霜,霜 降れ ば 霜 を 楯 と す 法 の 城
蒲団,死神 を 蹴る 力 無き 蒲団 か な
春風,春風 や 闘志 いだき て 丘 に 立つ
木の芽,大寺 を 包み て わめく 木の芽 か な
春 の 水,一つ 根 に 離れ 浮く 葉 や 春 の 水
蟇,古 庭 を 魔 に なか へ しそ 蟇
年 去る,年 を以て 巨人 と し たり 歩み 去る
罌粟,我 心 或 時 軽し 罌粟 の 花
コレラ,コレラ 怖 ぢ て 奇麗 に 住める 女 か な
秋 の 風,一 人 の 強者 唯 出よ 秋 の 風
葡萄,葡萄 の 種 吐き出し て 事 を 決し けり
水 温む,これ より は 恋 や 事業 や 水 温む
小鳥,大空 に 又 わき出 でし 小鳥 か な
渡り鳥,木曽川 の 今 こそ 光れ 渡り鳥
闇汁,闇汁 の 杓子 を 逃げ し もの や 何
蛇,蛇 逃げ て 我 を 見 し 眼 の 草 に 残る
天の川,天の川 の もと に 天智天皇 と 虚子 と
立春 大吉,雨 の 中 に 立春 大吉 の 光 あり
ぶらんこ,鞦韆 に 抱き 乗せ て 沓 に 接吻 す
野 焼,野 を 焼い て 帰れ ば 燈火 母 やさし
暮 の 秋,能 すみ し 面 の 衰 へ 暮 の 秋
秋 の 空,秋 天 の 下 に 野菊 の 花弁 欠く
扇,我 を 指す 人 の 扇 を にくみ けり
冬 帝,冬 帝 先ず 日 を なげかけ て 駒ケ岳
夏 帯,どか と 解く 夏 帯 に 句 を 書け と こそ
蝌蚪,天日 の うつり て 暗し 蝌蚪 の 水
晩 涼,晩 涼 に 池 の 萍皆 動く
噴井,月 浴び て 玉 崩れ を る 噴井 か な
北風,北風 や 石 を 敷き たる ロシア 町
春寒,春寒 の より そ ひ 行け ば 人目 ある
牡丹,白 牡丹 といふ とい へ ども 紅 ほのか
鶯,鴬 や 洞 然 として 昼 霞
清水,底 の 石 ほ と 動き 湧く 清水 か な
冬木,大空 に 伸び 傾ける 冬木 か な
もの の 芽,もの の 芽 の あら はれ 出 でし 大事 か な
菖蒲,なつかしき あやめ の 水 の 行方 か な
海月,わだつみ に 物 の 命 の くらげ か な
羽子板,やり 羽子 や 油 の やう な 京 言葉
羽子板,東山 静 に 羽子 の 舞 ひ 落ち ぬ
花 の 雨,お も ひ 川 渡れ ば 叉 も 花 の 雨
新涼,新涼 や 仏 に と もし 奉る
月,ふるさと の 月 の 港 を よぎる のみ
月,はなやぎ て 月 の 面 に かかる 雲
朱 戀,われ が 来 し 南 の 国 の ザボン か な
大根,流れ 行く 大根 の 葉 の 早 さ か な
畦 焼,此村 を 出 で ば や と 思ふ 畦 を 焼く
春 の 宵,眼 つむれ ば 若き 我 あり 春 の 宵
柳絮,旧 城市 柳絮 とぶ こと しきり なり
夕立,夕立 や 森 を 出 で 来る 馬車 一つ
露,石ころ も 露けき もの の 一つ か な
西行 忌,栞 し て 山家 集 あり 西行 忌
春潮,春潮 と いへ ば 必ず 門司 を 思ふ
炎天,炎天 の 空 美し や 高野山
裸,闇 なれ ば 衣 まと ふ 間 の 裸 か な
露,もの 言 ひ て 露けき 夜 と 覚え たり
大 試験,大 試験 山 の 如く に 控 へ たり
紅梅,紅梅 の 紅 の 通 へる 幹 なら ん
夏 帽子,火 の 山 の 裾 に 夏 帽 振る 別れ
星月夜,われ の 星 燃え て を る なり 星月夜
熱燗,酒 うすし せめて は 燗 を 熱う せよ
鷹,鷹 の 目 の 佇む 人 に 向 は ざる
花,聾 青 畝 ひとり 離れ て 花 下 に 笑む
春 の 浜,春 の 浜 大いなる 輪 が 画い て ある
釣 忍,自 から 其頃 と なる 釣 忍
秋 の 蚊,く はれ もす 八雲 旧居 の 秋 の 蚊 に
襟巻,襟巻 の 狐 の 顔 は 別に あり
春泥,鴨の嘴 より たらたら と 春 の 泥
滝,神 に ませ ば まこと 美 は し 那智 の 滝
囀,囀 や 絶えず 二 三 羽 こぼれ 飛び
浴衣,浴衣 着 て 少女 の 乳房 高 から ず
虹,バス 来る や 虹 の 立ち たる 湖畔 村
菊,顔 抱い て 犬 が 寝 て を り 菊 の 宿
冬木,白雲 と 冬木 と 終に かか はら ず
玉虫,玉虫 の 光 残し て 飛び に けり
野分,大いなる もの が 過ぎ行く 野分 か な
バナナ,川 を 見る バナナ の 皮 は 手 より 落ち
初詣,神慮 今 鳩 を たた しむ 初詣
卒業,一 を 知 つて 二 を 知ら ぬ なり 卒業 す
遍路,道 のべ に 阿波 の 遍路 の 墓 あはれ
寒 鴉,かわか わ と 大きく ゆるく 寒 鴉
羽子,大空 に 羽子 の 白妙 とどまれ り
今朝 の 春,餅 も 好き 酒 も すき なり けさ の 春
蓮 の 花,大 紅蓮 大 白蓮 の 夜明 か な
短夜,短夜 の 星 が 飛ぶ なり 顔 の 上
蝶,蝶々 の もの 食 ふ 音 の 静か さ よ
行 春,行 春 や 畳ん で 古き 恋 衣
踏絵,絵 ぶ み し て 生き残り たる 女 か な
神無月,宮 柱 太し く 立ち て 神無月
寒 さ,兄弟 の 心 異 る 寒 さ か な
葛 の 花,山 深く 狂女 に 逢 へり 葛 の 花
放屁 虫,放屁 虫 俗論 党 を 憎み けり
凍 つ,地球 凍て ぬ 月光 之 を 照 し けり
初空,初空 や 大 悪人 虚子 の 頭上 に
虫,其中 に 金鈴 を ふる 虫 一つ
初 電車,波 音 の 由比ケ浜 より 初 電車
早春,早春 の 庭 を めぐり て 門 を 出 で ず
遅日,この 庭 の 遅日 の 石 の いつ まで も
箱庭,箱庭 の 人 に 古り ゆく 月日 か な
花,咲き 満ち て こ ぼ るる 花 も なか り けり
狐火,狐火 の 出 て ゐる 宿 の 女 か な
春 燈,春 燈 の 下 に 我 あり 汝 あり
胡蝶,宇治川 を わたり お ほせ し 胡蝶 か な
初日の出,大 濤 に を どり 現れ 初日の出
鴨,鴨 の 中 の 一つ の 鴨 を 見 て ゐ たり
芋虫,命 かけ て 芋虫 憎む 女 か な
野分,飛ん で 来る 物恐ろしき 野分 か な
翡翠,翡翠 の 紅一点 に つづまり ぬ
歌留多,歌留多 とる 皆 美しく 負け まじく
独楽,たと ふれ ば 独楽 の はじける 如く なり
稲妻,稲妻 を ふみ て 跣 足 の 女 か な
秋 祭,老人 と 子供 と 多し 秋 祭
行年,行年 や 歴史 の 中 に 今 我 あり
焚火,焚火 かなし 消えん と すれ ば 育て られ
冬日,旗 の ごと な びく 冬日 を ふと 見 たり
羽 抜鶏,己 が 羽 の 抜け し を 啣 へ 羽 抜鶏
秋風,秋風 や 心 の 中 の 幾 山河
秋,もの 置け ば そこ に 生れ ぬ 秋 の 蔭
龍 の 玉,龍 の 玉 深く 蔵す と いふ こと を
春水,春水 を たたけ ば いたく 窪む なり
卒業,運命 は 笑 ひ 待ち を り 卒業 す
初 蝶,初 蝶 を 夢 の 如く に 見 失ふ
虫,虫 螻蛄 と 侮ら れ つつ 生 を 享 く
鳰,鳰 が ゐ て 鳰 の 海 と は 昔 より
秋風,秋風 や とある 女 の 或 る 運命
手鞠 唄,手鞠 唄 かなしき こと を うつくしく
大寒,大寒 の 埃 の 如く 人死 ぬる
松過ぎ,松過ぎ の 又 も 光陰 矢 の 如く
秋風,秋風 や 心 激 し て 口 吃る
柿,よろよろ と 棹 が のぼり て 柿 挟む
北風,北風 に 人 細り 行き 曲り 消え
大根,大根 を 水 くし や くし や に し て 洗 ふ
向日葵,向日葵 が 好き で 狂 ひ て 死に し 画家
夜学,悲し さ は いつも 酒気 ある 夜学 の 師
寒 鯉,寒 鯉 の 一擲 し たる 力 か な
白酒,白酒 の 紐 の 如く に つが れ けり
物 の 芽,土塊 を 一つ 動かし 物 芽 出 づ
虹,虹 消え て 忽ち 君 の 無き 如し
蝶,山国 の 蝶 を 荒し と 思は ず や
秋 の 暮,日 の くれ と 子供 が 言 ひ て 秋 の 暮
炬燵,句 を 玉 と 暖め て を る 炬燵 か な
氷柱,世の中 を 遊び ごころ や 氷柱 折る
物 蝶,初 蝶 来 何 色 と 問 ふ 黄 と 答 ふ
昼寝,我 生 の 今日 の 昼寝 も 一大事
金魚,いつ 死 ぬる 金魚 と 知ら ず 美しき
秋 灯,秋 灯 や 夫婦 互に 無き 如く
桜桃,茎 右往左往 菓子 器 の さくらんぼ
茸,爛々 と 昼 の 星 見え 菌 生 え
桃 の 花,海女 とても 陸 こそ よけれ 桃 の 花
秋 の 空,秋 天 に われ が ぐんぐん ぐんぐん と
紅葉,大 紅葉 燃え上がら ん と し つつ あり
冬日,や はら かき餅 の 如く に 冬日 か な
銀河,虚子 一 人 銀河 と共に 西 へ 行く
玉椿,大空 に う かめる 如き 玉椿
秋,彼 一 語 我 一 語 秋 深み かも
去年 今年,去年 今年 貫く 棒 の 如き もの
熱燗,熱燗 に 泣き を る 上戸 ほ つ て おけ
椿,ゆらぎ 見 ゆ 百 の 椿 が 三 百 に
春,何事 も 知ら ず と 答 へ 老 の 春
短夜,すぐ 来い といふ 子規 の 夢 明 易き
台風,人生 の 台風 圏 に 今 入り し
コスモス,コスモス の 花 あそび を る 虚空 か な
昼寝,一切 を 抛擲 し 去り 大 昼寝
蜥蜴,我 を 見 て 舌 を 出し たる 大 蜥蜴
流れ星,大空 の 青 艶 に し て 流れ星
蜘蛛,蜘蛛 に 生れ 網 を かけ ね ば なら ぬ か な
年賀,不精 にて 年賀 を 略す 他意 あら ず
凍 つ,我 れ が 行く 天地 万象 凍て し 中
涼し,風生 と 死 の 話し て 涼し さ よ
春 の 闇,灯 を ともす 指 の 間 の 春 の 闇
春の 山,春の 山 屍 を うめ て むなし かり
遅日,独り 句 の 推敲 を し て 遅き 日 を
子規 忌,子規 逝く や 十 七 日 の 月明 に
箒 木,箒 木 に 影 といふ もの あり に けり
春 浅し,春 浅き 水 を 渉 る や 鷺 一つ
桃 の 花,桃 咲く や 湖水 の へり の 十 箇村
春寒,春寒 し 水田 の 上 の 根 なし 雲
春 の 潮,ひたひた と 春 の 潮 打つ 鳥居 か な
凧,ちさ い 子 の 走り て あがる 凧
桃 の 花,旅 に し て 昼餉 の 酒 や 桃 の 花
椿,赤い 椿 白い 椿 と 落ち に けり
雪 の 峰,空 を はさむ 蟹 死 に を る や 雲 の 峰
夏野,鳥 渡り 明日 は と 望む 山 夏野
蚊遣,馬方 の 喧嘩 も 果て て 蚊遣 か な
桐 の 花,天領 の 境 に さく や 桐 の 花
ひやひや と,ひやひや と 積木 が 上 に 海 見 ゆる
花野,川上 の 水 静か なる 花野 か な
露,露 深し 胸毛 の 濡 るる 朝 の 鹿
鳥 渡る,鳥 渡る 博物館 の 林 か な
赤蜻蛉,から 松 は 淋しき 木 なり 赤蜻蛉
螽,螽 飛ぶ 草 に 蟷螂 じ つ として
芒,この 道 の 富士 に なり ゆく 芒 か な
落穂,豊か なる 年 の 落穂 を 祝ひ けり
氷,流れ たる 花屋 の 水 の 氷り けり
水鳥,不 忍 や 水鳥 の 夢 夜 の 三味
冬 薔薇,思は ず も ヒヨコ 生れ ぬ 冬 薔薇
初日,初日 さす 朱雀 道 り の 静 さ よ
秋空,曳か れる 牛 が 辻 で ずつ と 見廻し た 秋空 だ
元日,元日 や 日 の あたり を る 浅間山
雪,鵯 の それ きり 鳴か ず 雪 の 暮
氷,氷 曳く 音 こき こき と 杉 間 か な
木の葉,木曽 路 ゆく 我 も 旅人 散る 木の葉
吹雪,今日 も 暮 るる 吹雪 の 底 の 大 日輪
郭公,郭公 や 何処 まで ゆか ば 人 に 逢 はむ
コスモス,コスモス へ ゆき か まつ か へ ゆき 憩 ふ
元日,元日 や ふ どし た たん で 枕上 ﾐ
春寒,春寒 や ぶつかり 歩く 盲 犬
余寒,世 を 恋 ふて 人 を 恐 るる 余寒 か な
春 の 夜,春 の 夜 や 灯 を 囲み 居る 盲者 達
霞,榛名山 大 霞 し て 真昼 か な
残雪,残雪 や ごうごうと 吹く 松 の 風
治 聾 酒,治 聾 酒 の 酔 ふ ほど も なく さ め に けり
田打,生き か はり 死に か はり し て 打つ 田 か な
闘鶏,闘鶏 の 眼 つぶれ て 飼 は れ けり
地虫 出 づ,己 が 影 を 慕う て 這 へる 地虫 か な
蝌蚪,川底 に 蝌蚪 の 大国 あり に けり
桜,ゆさゆさ と 大枝 ゆ るる 桜 か な
大暑,念力 の ゆるめ ば 死ぬ る 大暑 か な
五月雨,五月雨 や 起 上がり たる 根無草
雹,雹 晴れ て 豁然 と ある 山河 か な
水すまし,水すまし 水 に 跳 て 水 鉄 の 如し
夏 草,夏 草 に 這 上がり たる 捨蚕 か な
秋 の 暮,秋 の 暮 水 の やう なる 酒 二 合
秋 高し,痩馬 の あはれ 機嫌 や 秋 高し
秋 の 暮,さみし さ に 早 飯 食 ふ や 秋 の 暮
月,け ふ の 月 馬 も 夜道 を 好み けり
月,月 さして 一 ト 間 の 家 で あり に けり
今朝 の 秋,親 より も 白き 羊 や 今朝 の 秋
蛤,蛤 に 雀 の 斑 あり 哀れ か な
小 春日,小 春日 や 石 を 噛み 居る 赤蜻蛉
冬 の 日,冬 の 日 や 前 に 塞がる 己 が 影
鷹,鷹 の つら きびしく 老い て 哀れ なり
冬 峰,冬 蜂 の 死 に 所 なく 歩き けり
長閑,のどけ さ に 寝 て しまひ けり 草 の 上
芳 草,黛 を 濃う せよ 草 は 芳しき
柿,渋柿 の 如き もの にて は 候 へ ど
清水,絶壁 に 眉 つけ て 飲む 清水 か な
冬山,冬山 や どこ まで 登る 郵便 夫
花野,天 渺 々 笑 ひ たく なり し 花野 か な
落葉,白日 は 我が 霊 なり し 落葉 か な
立春,さざ波 は 立春 の 譜 を ひろげ たり
月夜,て の ひらに 落花 とまら ぬ 月夜 か な
菫,かたま つて 薄き 光 の 菫 か な
月光,月光 に ぶつ かつて 行く 山路 か な
秋風,一筋 の 秋風 なり し 蚊遣 香
湯 婆,寂寞 と 湯 婆 に 足 を そろ へ けり
葛湯,うすめ て も 花 の 匂 ひ の 葛湯 か な
墓参,もつ 花 に お つる なみ だ や 墓 ま ゐ り
日傘,鈴 おと の かすか に ひびく 日傘 か な
露,就中 学窓 の 灯 や 露 の 中
灯 籠,かり そ め に 燈籠 おく や 草 の 中
冬日,くれ な ゐ の こころ の 闇 の 冬日 か な
十二月,炉 ほとり の 甕 に 澄む 日 や 十二月
雪,ふるさと の 雪 に 我 ある 大 爐 か な
野 焼,古き 世 の 火 の 色 うごく 野 焼 か な
枯草,大江戸 の 街 は 錦 や 草枯 るる
灯 取 虫,幽冥 へ お つる 音 あり 灯 取 虫
秋風,秋風 や 眼前 湧 ける 月 の 謎
秋風,竈 火 赫 と ただ 秋風 の 妻 を 見る
露,芋 の 露 連山 影 を 正し うす
秋,つぶら なる 汝 が 眼 吻 は なん 露 の 秋
雁,かり が ね に 乳 はる 酒 肆 の 婢 あり けり
鳥 瓜,梵妻 を 恋 ふ 乞食 あり 烏瓜
寒 さ,ある 夜 月 に 富士大 形 の 寒 さ か な
野火,閨 怨 の ま なじり 幽し 野火 の 月
菊 見,たま し ひ の しづか に うつる 菊 見 か な
冬至,山国 の 虚空 日 わたる 冬至 か な
冬 帽子,雪 晴れ て わが 冬 帽 の 蒼 さ か な
火桶,死病 得 て 爪 うつくしき 火桶 か な
落葉,落葉 ふん で ひと 道念 を 全うす
鵜,三伏 の 穢 に 鳴く 荒 鵜 か な
良夜,筆硯 に 多少 の ちり も 良夜 か な
夏山,夏山 や 又 大川 に めぐり あふ
蕨,一 鷹 を 生む 山風 や 蕨 伸 ぶ
灯 籠 流し,流 燈 や 一つ に はか に さかのぼる
石 叩,滝 風 に 吹か れ あがり ぬ 石 たたき
花衣,ぬぎすて し 人 の 温み や 花衣
帰 燕,ゆく 雲 に しばらく ひそむ 帰 燕 か な
盆 会,信心 の 母 に し た が ふ 盆 会 か な
極寒,極寒 の 塵 も とどめ ず 岩 ぶす ま
秋風,死骸 や 秋風 か よ ふ 鼻 の 穴
秋 の 蛍,たま し ひ の たとへば 秋 の ほた る 哉
淑 気,いんぎん に こと づてたのむ 淑 気 か な
寒 九,ひたひた と 寒 九 の 水 や 廚甕
春蘭,春蘭 の 花 と りす つる 雲 の 中
芒,を り とり て はらりと おもき すすき か な
初湯,わら ん べ の 溺 るる ばかり 初湯 か な
立秋,秋 立つ や 川瀬 に まじる 風の音
柿,切株 において 全 き 熟柿 か な
寒 鯉,寒 鯉 の 黒光り し て 斬ら れ けり
草 苺 の 花,死火山 の 膚 つめたく て 草 いちご
寒卵,大つぶ の 寒卵 おく 襤褸 の 上
夏,鼈 を く びき る 夏 の うす 刃 か な
秋日,よき 娘 き て 軍鶏 流眄 す 秋日 か な
雪山,雪山 を 匐 ひまわり ゐる 谺 か な
秋 鶏,秋 鶏 が 見 て ゐる 陶 の 卵 か な
曼珠沙華,草川 の そ より と も せ ぬ 曼珠沙華
鵜 籠,月光 の し た たたり かかる 鵜 籠 か な
冬,冬 の 蟇 川 に はなて ば 泳ぎ けり
木菟,山 の 童 の 木菟 捕らえ たる 鬨 あげ ぬ
夏 雲,夏 雲 群 る この 峡 中 に 死ぬ る か な
夏 の 昼,夏 真昼 死 は 半眼 に 人 を みる
秋 燕,高浪 に かく るる 秋 の つば め か な
冬 の 滝,冬 滝 の きけ ば 相つぐ こだま か な
冷やか,冷やか に 人 住める 地 の 起伏 あり
鰯雲,いわし雲 おおいなる 瀬 を さかのぼる
秋 の 日,戦死 報 秋 の 日 くれ て き たり けり
雪,降る 雪 や 玉 の ご とく に ランプ 拭く
春めく,春めき て ものの 果て なる 空 の 色
炎天,炎天 を 槍 の ご とく に 涼気 すぐ
冬 の 川,冬 川 に 出 て 何 を 見る 人 の 妻
薔薇,薔薇 園 一夫多妻 の 場 を 思ふ
蟬,いち早く 日暮 るる 蟬 の 鳴き に けり
秋,誰彼 も あら ず 一天 自尊 の 秋
春 更,春 更け て 諸 鳥 啼く や 雲 の 上
行く 春,春 尽き て 山 みな 甲斐 に 走り けり
春雪,春雪 の 暫く 降る や 海 の 上
雪 解 川,雪 解 川名山 け づる 響 か な
汐 干 狩,絶壁 の ほろほろ 落つ る 汐 干 か な
